table_a,column_a,table_b,column_b,label
customers_a,customer_id,customers_b,client_id,1
customers_a,customer_id,customers_b,name,0
customers_a,customer_id,customers_b,email_address,0
customers_a,customer_id,customers_b,registration_date,0
customers_a,customer_id,customers_b,location,0
customers_a,full_name,customers_b,client_id,0
customers_a,full_name,customers_b,name,1
customers_a,full_name,customers_b,email_address,0
customers_a,full_name,customers_b,registration_date,0
customers_a,full_name,customers_b,location,0
customers_a,email,customers_b,client_id,0
customers_a,email,customers_b,name,0
customers_a,email,customers_b,email_address,1
customers_a,email,customers_b,registration_date,0
customers_a,email,customers_b,location,0
customers_a,signup_date,customers_b,client_id,0
customers_a,signup_date,customers_b,name,0
customers_a,signup_date,customers_b,email_address,0
customers_a,signup_date,customers_b,registration_date,1
customers_a,signup_date,customers_b,location,0
customers_a,city,customers_b,client_id,0
customers_a,city,customers_b,name,0
customers_a,city,customers_b,email_address,0
customers_a,city,customers_b,registration_date,0
customers_a,city,customers_b,location,1
orders_a,order_id,orders_b,purchase_id,1
orders_a,order_id,orders_b,client_id,0
orders_a,order_id,orders_b,purchase_date,0
orders_a,order_id,orders_b,total_amount,0
orders_a,order_id,orders_b,state,0
orders_a,customer_id,orders_b,purchase_id,0
orders_a,customer_id,orders_b,client_id,1
orders_a,customer_id,orders_b,purchase_date,0
orders_a,customer_id,orders_b,total_amount,0
orders_a,customer_id,orders_b,state,0
orders_a,order_date,orders_b,purchase_id,0
orders_a,order_date,orders_b,client_id,0
orders_a,order_date,orders_b,purchase_date,1
orders_a,order_date,orders_b,total_amount,0
orders_a,order_date,orders_b,state,0
orders_a,amount,orders_b,purchase_id,0
orders_a,amount,orders_b,client_id,0
orders_a,amount,orders_b,purchase_date,0
orders_a,amount,orders_b,total_amount,1
orders_a,amount,orders_b,state,0
orders_a,status,orders_b,purchase_id,0
orders_a,status,orders_b,client_id,0
orders_a,status,orders_b,purchase_date,0
orders_a,status,orders_b,total_amount,0
orders_a,status,orders_b,state,1
products_a,product_id,products_b,item_id,1
products_a,product_id,products_b,name,0
products_a,product_id,products_b,cost,0
products_a,product_id,products_b,type,0
products_a,product_id,products_b,inventory,0
products_a,product_name,products_b,item_id,0
products_a,product_name,products_b,name,1
products_a,product_name,products_b,cost,0
products_a,product_name,products_b,type,0
products_a,product_name,products_b,inventory,0
products_a,price,products_b,item_id,0
products_a,price,products_b,name,0
products_a,price,products_b,cost,1
products_a,price,products_b,type,0
products_a,price,products_b,inventory,0
products_a,category,products_b,item_id,0
products_a,category,products_b,name,0
products_a,category,products_b,cost,0
products_a,category,products_b,type,1
products_a,category,products_b,inventory,0
products_a,stock,products_b,item_id,0
products_a,stock,products_b,name,0
products_a,stock,products_b,cost,0
products_a,stock,products_b,type,0
products_a,stock,products_b,inventory,1
employees_a,employee_id,employees_b,staff_id,1
employees_a,employee_id,employees_b,name,0
employees_a,employee_id,employees_b,division,0
employees_a,employee_id,employees_b,income,0
employees_a,employee_id,employees_b,start_date,0
employees_a,full_name,employees_b,staff_id,0
employees_a,full_name,employees_b,name,1
employees_a,full_name,employees_b,division,0
employees_a,full_name,employees_b,income,0
employees_a,full_name,employees_b,start_date,0
employees_a,department,employees_b,staff_id,0
employees_a,department,employees_b,name,0
employees_a,department,employees_b,division,1
employees_a,department,employees_b,income,0
employees_a,department,employees_b,start_date,0
employees_a,salary,employees_b,staff_id,0
employees_a,salary,employees_b,name,0
employees_a,salary,employees_b,division,0
employees_a,salary,employees_b,income,1
employees_a,salary,employees_b,start_date,0
employees_a,hire_date,employees_b,staff_id,0
employees_a,hire_date,employees_b,name,0
employees_a,hire_date,employees_b,division,0
employees_a,hire_date,employees_b,income,0
employees_a,hire_date,employees_b,start_date,1
payments_a,payment_id,payments_b,transaction_id,1
payments_a,payment_id,payments_b,purchase_id,0
payments_a,payment_id,payments_b,date,0
payments_a,payment_id,payments_b,total,0
payments_a,payment_id,payments_b,channel,0
payments_a,order_id,payments_b,transaction_id,0
payments_a,order_id,payments_b,purchase_id,1
payments_a,order_id,payments_b,date,0
payments_a,order_id,payments_b,total,0
payments_a,order_id,payments_b,channel,0
payments_a,payment_date,payments_b,transaction_id,0
payments_a,payment_date,payments_b,purchase_id,0
payments_a,payment_date,payments_b,date,1
payments_a,payment_date,payments_b,total,0
payments_a,payment_date,payments_b,channel,0
payments_a,amount,payments_b,transaction_id,0
payments_a,amount,payments_b,purchase_id,0
payments_a,amount,payments_b,date,0
payments_a,amount,payments_b,total,1
payments_a,amount,payments_b,channel,0
payments_a,method,payments_b,transaction_id,0
payments_a,method,payments_b,purchase_id,0
payments_a,method,payments_b,date,0
payments_a,method,payments_b,total,0
payments_a,method,payments_b,channel,1
shipments_a,shipment_id,shipments_b,delivery_id,1
shipments_a,shipment_id,shipments_b,purchase_id,0
shipments_a,shipment_id,shipments_b,dispatch_date,0
shipments_a,shipment_id,shipments_b,arrival_date,0
shipments_a,shipment_id,shipments_b,service,0
shipments_a,order_id,shipments_b,delivery_id,0
shipments_a,order_id,shipments_b,purchase_id,1
shipments_a,order_id,shipments_b,dispatch_date,0
shipments_a,order_id,shipments_b,arrival_date,0
shipments_a,order_id,shipments_b,service,0
shipments_a,ship_date,shipments_b,delivery_id,0
shipments_a,ship_date,shipments_b,purchase_id,0
shipments_a,ship_date,shipments_b,dispatch_date,1
shipments_a,ship_date,shipments_b,arrival_date,0
shipments_a,ship_date,shipments_b,service,0
shipments_a,delivery_date,shipments_b,delivery_id,0
shipments_a,delivery_date,shipments_b,purchase_id,0
shipments_a,delivery_date,shipments_b,dispatch_date,0
shipments_a,delivery_date,shipments_b,arrival_date,1
shipments_a,delivery_date,shipments_b,service,0
shipments_a,carrier,shipments_b,delivery_id,0
shipments_a,carrier,shipments_b,purchase_id,0
shipments_a,carrier,shipments_b,dispatch_date,0
shipments_a,carrier,shipments_b,arrival_date,0
shipments_a,carrier,shipments_b,service,1
suppliers_a,supplier_id,suppliers_b,vendor_id,1
